[INFO ] 2024-03-29 02:43:09.230 [main] LoggerLoad - Test Data Not Found.....
[INFO ] 2024-03-29 02:43:09.238 [main] LoggerLoad - Cannot invoke "io.restassured.response.Response.then()" because "this.testContext.response" is null
[INFO ] 2024-03-29 02:46:07.149 [main] LoggerLoad - TestCase:1 null-Create user POST Request with  positive Scenario
[INFO ] 2024-03-29 02:46:59.029 [main] LoggerLoad - TestCase:1 null-Create user POST Request with  positive Scenario
[INFO ] 2024-03-29 02:47:57.103 [main] LoggerLoad - TestCase:1 null-Create user POST Request with  positive Scenario
[INFO ] 2024-03-29 14:47:06.551 [main] LoggerLoad - TestCase:1 null-Create user POST Request with  positive Scenario
[INFO ] 2024-03-29 14:52:50.424 [main] LoggerLoad - TestCase:1 null-Create user POST Request with  positive Scenario
[INFO ] 2024-03-29 15:05:53.862 [main] LoggerLoad - TestCase:1 null-Create user POST Request with  positive Scenario
[INFO ] 2024-03-29 15:07:11.361 [main] LoggerLoad - TestCase:1 null-Create user POST Request with  positive Scenario
[INFO ] 2024-03-29 15:16:30.274 [main] LoggerLoad - TestCase:1 null-Create user POST Request with  positive Scenario
[INFO ] 2024-03-29 15:26:22.461 [main] LoggerLoad - Cannot invoke "String.contentEquals(java.lang.CharSequence)" because "this.authStatus" is null
[INFO ] 2024-03-29 15:29:28.278 [main] LoggerLoad - Cannot invoke "java.lang.Integer.intValue()"
[INFO ] 2024-03-29 15:31:13.116 [main] LoggerLoad - Cannot invoke "java.lang.Integer.intValue()"
[INFO ] 2024-03-29 15:34:06.388 [main] LoggerLoad - class java.lang.String cannot be cast to class java.lang.Integer (java.lang.String and java.lang.Integer are in module java.base of loader 'bootstrap')
[INFO ] 2024-03-29 15:45:44.544 [main] LoggerLoad - <============================>TestCase:1 AuthBearer-Create user POST Request with  positive Scenario
[INFO ] 2024-03-29 16:51:10.115 [main] LoggerLoad - <============================>Testcase for Get request with Endpoints: GetAllUsers is Successfully
[INFO ] 2024-03-29 16:51:10.420 [main] LoggerLoad - <============================>Testcase for Get request with Endpoints: GetAllRoles is Successfully
[INFO ] 2024-03-29 16:58:54.264 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllUsers is Successfully <===>
[INFO ] 2024-03-29 16:58:54.548 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllRoles is Successfully <===>
[INFO ] 2024-03-29 19:33:27.456 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllUsers is Successfully <===>
[INFO ] 2024-03-29 19:33:27.720 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllRoles is Successfully <===>
[INFO ] 2024-03-29 19:37:29.906 [main] LoggerLoad - <===>TestCase:1 AuthBearer-Create user POST Request with  positive Scenario <===>
[INFO ] 2024-03-29 19:37:29.942 [main] LoggerLoad - Cannot invoke "java.io.FileOutputStream.close()" because "phase2lmsapihackathon.utils.XLUtility.fo" is null
[INFO ] 2024-03-29 19:37:30.467 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllUsers is Successfully <===>
[INFO ] 2024-03-29 19:37:30.708 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllRoles is Successfully <===>
[INFO ] 2024-03-29 19:46:06.324 [main] LoggerLoad - <===>TestCase:1 AuthBearer-Create user POST Request with  positive Scenario <===>
[INFO ] 2024-03-29 19:46:07.241 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllUsers is Successfully <===>
[INFO ] 2024-03-29 19:46:07.517 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllRoles is Successfully <===>
[INFO ] 2024-03-29 19:52:29.823 [main] LoggerLoad - <===>TestCase:1 AuthBearer-Create user POST Request with  positive Scenario <===>
[INFO ] 2024-03-29 19:52:30.729 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllUsers is Successfully <===>
[INFO ] 2024-03-29 19:52:30.985 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllRoles is Successfully <===>
[INFO ] 2024-03-29 19:54:49.591 [main] LoggerLoad - <===>TestCase:1 AuthBearer-Create user POST Request with  positive Scenario <===>
[INFO ] 2024-03-29 19:54:50.705 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllUsers is Successfully <===>
[INFO ] 2024-03-29 19:54:51.065 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllRoles is Successfully <===>
[INFO ] 2024-03-29 20:01:26.911 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllUsers is Successfully <===>
[INFO ] 2024-03-29 20:01:27.208 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllRoles is Successfully <===>
[INFO ] 2024-03-29 20:24:45.982 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllUsers is Successfully <===>
[INFO ] 2024-03-29 20:24:46.260 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllRoles is Successfully <===>
[INFO ] 2024-03-29 20:24:47.272 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetUserByUserId is Successfully <===>
[INFO ] 2024-03-29 20:25:06.688 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetUserByUserId is Successfully <===>
[INFO ] 2024-03-29 20:26:51.768 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetUserByUserId is Successfully <===>
[INFO ] 2024-03-29 20:32:19.115 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllUsers is Successfully <===>
[INFO ] 2024-03-29 20:32:19.744 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllRoles is Successfully <===>
[INFO ] 2024-03-29 20:32:20.724 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetUserByUserId is Successfully <===>
[INFO ] 2024-03-29 20:32:56.622 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllUsers is Successfully <===>
[INFO ] 2024-03-29 20:32:57.367 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllRoles is Successfully <===>
[INFO ] 2024-03-29 20:32:58.367 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetUserByUserId is Successfully <===>
[INFO ] 2024-03-29 20:37:04.366 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllUsersWithRole is Successfully <===>
[INFO ] 2024-03-29 20:59:31.063 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllUsers is Successfully <===>
[INFO ] 2024-03-29 20:59:32.447 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllRoles is Successfully <===>
[INFO ] 2024-03-29 20:59:33.397 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetUserByUserId is Successfully <===>
[INFO ] 2024-03-29 20:59:33.718 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllUsersWithRole is Successfully <===>
[INFO ] 2024-03-29 21:10:41.094 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=all is Successfully <===>
[INFO ] 2024-03-29 21:10:41.381 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R01 is Successfully <===>
[INFO ] 2024-03-29 21:10:41.666 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R02 is Successfully <===>
[INFO ] 2024-03-29 21:10:41.943 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R03 is Successfully <===>
[INFO ] 2024-03-29 21:17:43.622 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetUserByUserId is Successfully <===>
[INFO ] 2024-03-29 21:17:44.614 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=all is Successfully <===>
[INFO ] 2024-03-29 21:17:45.431 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R01 is Successfully <===>
[INFO ] 2024-03-29 21:17:46.286 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R02 is Successfully <===>
[INFO ] 2024-03-29 21:17:46.903 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R03 is Successfully <===>
[INFO ] 2024-03-29 21:17:48.139 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllRoles is Successfully <===>
[INFO ] 2024-03-29 21:17:49.125 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllUsersWithRole is Successfully <===>
[INFO ] 2024-03-29 21:18:13.520 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetUserByUserId is Successfully <===>
[INFO ] 2024-03-29 21:18:14.014 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=all is Successfully <===>
[INFO ] 2024-03-29 21:18:14.353 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R01 is Successfully <===>
[INFO ] 2024-03-29 21:18:14.799 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R02 is Successfully <===>
[INFO ] 2024-03-29 21:18:15.487 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R03 is Successfully <===>
[INFO ] 2024-03-29 21:18:16.651 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllRoles is Successfully <===>
[INFO ] 2024-03-29 21:18:17.378 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllUsersWithRole is Successfully <===>
[INFO ] 2024-03-29 21:21:13.934 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetUserByUserId is Successfully <===>
